City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Matata,100,NZ,1635600806,97,-37,176,63,12
Narsaq,99,GL,1635600806,69,60,-46,30,4
Mariental,0,NA,1635600807,8,-24,17,88,4
Fort Morgan,1,US,1635600608,69,40,-103,45,5
Busselton,65,AU,1635600808,89,-33,115,54,8
Henties Bay,10,NA,1635600808,72,-22,14,62,10
Qaanaaq,0,GL,1635600649,55,77,-69,1,9
Srednekolymsk,100,RU,1635600809,99,67,153,-5,3
Atuona,23,PF,1635600810,71,-9,-139,76,12
Castro,44,BR,1635600666,67,-24,-50,71,9
Upernavik,100,GL,1635600810,56,72,-56,22,6
Ribeira Grande,75,PT,1635600811,94,38,-28,72,23
Lorengau,100,PG,1635600812,79,-2,147,82,6
Rikitea,99,PF,1635600812,82,-23,-134,74,20
Mil'kovo,42,RU,1635600813,92,54,158,24,3
Sterling,90,US,1635600813,97,39,-77,56,8
Saint-Philippe,59,RE,1635600814,82,-21,55,80,6
Bria,100,CF,1635600815,70,6,21,82,0
Lukashin,92,AM,1635600815,62,40,44,55,4
Aurillac,75,FR,1635600816,78,44,2,64,6
Socorro,1,US,1635600816,31,31,-106,61,6
Hilo,1,US,1635600806,68,19,-155,66,6
Mossamedes,40,AO,1635600670,68,-15,12,74,13
Río Bueno,21,CL,1635600818,56,-40,-72,50,6
Hobart,75,AU,1635600602,65,-42,147,51,4
Pangnirtung,90,CA,1635600819,100,66,-65,32,3
Tiksi,100,RU,1635600819,98,71,128,-3,7
Sungai Penuh,100,ID,1635600820,97,-2,101,67,0
Senador Pompeu,59,BR,1635600821,40,-5,-39,91,4
Chui,99,UY,1635600821,73,-33,-53,71,14
Khovd,73,MN,1635600822,49,48,91,35,4
Arraial do Cabo,90,BR,1635600822,83,-22,-42,71,16
Severo-Kuril'sk,11,RU,1635600823,82,50,156,39,16
Carnarvon,0,AU,1635600823,60,-24,113,71,20
Puerto Ayora,89,EC,1635600824,84,0,-90,71,7
Ilulissat,75,GL,1635600824,51,69,-51,35,18
Oirschot,75,NL,1635600825,81,51,5,59,14
Banda Aceh,100,ID,1635600826,81,5,95,79,4
San Francisco,40,US,1635600151,93,37,-122,60,1
Nishihara,20,JP,1635600827,73,26,127,72,4
Saint George,1,US,1635600632,66,37,-113,56,4
Curillo,78,CO,1635600828,75,1,-75,79,1
Xiongyue,71,CN,1635600828,78,40,122,53,3
Albany,100,US,1635600602,93,42,-73,52,5
Buraidah,0,SA,1635600829,16,26,43,95,8
Krasnoborsk,100,RU,1635600830,100,61,45,38,2
Muros,100,ES,1635600830,83,42,-9,66,9
Omboué,100,GA,1635600831,80,-1,9,80,11
Mataura,20,NZ,1635600831,54,-46,168,52,7
Pocinhos,3,BR,1635600832,31,-7,-36,82,10
Khatanga,100,RU,1635600832,96,71,102,1,2
Esperance,0,AU,1635600773,73,-33,121,55,15
Aginskoye,9,RU,1635600833,31,51,114,24,3
Mount Isa,100,AU,1635600834,20,-20,139,82,17
Sakaraha,96,MG,1635600834,37,-22,44,81,13
Ryōtsu-minato,100,JP,1635600835,69,38,138,58,3
Kolda,100,SN,1635600836,80,12,-14,78,8
Ponta do Sol,91,PT,1635600836,73,32,-17,82,9
Carauari,36,BR,1635600837,51,-4,-66,90,2
Poum,2,NC,1635600837,76,-20,164,74,7
Kapaa,20,US,1635600838,82,22,-159,71,6
Chapais,99,CA,1635600838,60,49,-74,35,6
Jamestown,90,US,1635600839,97,42,-79,47,3
Nome,1,US,1635600795,79,64,-165,10,0
São Filipe,100,CV,1635600840,73,14,-24,80,11
Hithadhoo,70,MV,1635600840,74,0,73,83,15
Distrikt Brokopondo,30,SR,1635600841,76,4,-55,81,3
Lespezi,0,RO,1635600841,46,47,26,60,14
Rosetta,5,EG,1635600842,61,31,30,78,9
Ballina,90,AU,1635600843,88,-28,153,69,4
Umeå,90,SE,1635600843,100,63,20,44,12
Yellowknife,90,CA,1635600663,97,62,-114,28,12
College,90,US,1635600844,87,64,-147,24,0
Ocampo,1,MX,1635600845,66,21,-101,53,2
Ancud,1,CL,1635600756,48,-41,-73,47,8
Shambu,9,ET,1635600846,58,9,37,61,3
North Bend,90,US,1635600847,96,43,-124,51,3
Provideniya,98,RU,1635600653,84,64,-173,13,11
Shar,100,KZ,1635600847,36,49,81,41,4
Vostok,100,RU,1635600848,70,46,135,35,2
Te Anau,50,NZ,1635600848,87,-45,167,46,7
Spokane,1,US,1635600568,81,47,-117,33,1
Along,1,IN,1635600850,75,28,94,63,2
Fairbanks,90,US,1635600569,87,64,-147,24,6
Mt. Pleasant,1,US,1635600611,82,32,-79,59,1
Hualmay,56,PE,1635600759,80,-11,-77,64,5
Atambua,100,ID,1635600851,78,-9,124,78,0
Dwārka,48,IN,1635600852,47,22,68,82,10
Basoko,100,CD,1635600852,73,1,23,80,1
Jasper,1,US,1635600673,95,37,-94,42,0
Port Blair,100,IN,1635600853,80,11,92,81,4
Katsuura,5,JP,1635600854,60,35,140,63,4
Mana,27,GF,1635600854,79,5,-53,81,8
Buta,82,CD,1635600855,59,2,24,83,3
Talnakh,100,RU,1635600826,96,69,88,18,4
Cidreira,100,BR,1635600570,78,-30,-50,70,20
Edd,4,ER,1635600857,44,13,41,91,19
Namatanai,67,PG,1635600857,82,-3,152,79,8
Husavik,100,IS,1635600761,98,66,-17,37,8
Touros,39,BR,1635600844,58,-5,-35,88,15
Rio Grande,100,BR,1635600858,74,-32,-52,73,20
George Town,40,MY,1635600799,94,5,100,77,1
Tuktoyaktuk,90,CA,1635600652,93,69,-133,23,9
Teeli,97,RU,1635600861,61,51,90,32,1
Aligoodarz,73,IR,1635600861,61,33,49,53,5
Egvekinot,76,RU,1635600862,87,66,-179,-4,9
Siparia,23,TT,1635600862,81,10,-61,85,1
Kahului,1,US,1635600639,81,20,-156,72,5
East London,0,ZA,1635600863,73,-33,27,68,20
Padang,100,ID,1635600864,88,0,100,75,2
Catuday,9,PH,1635600864,72,16,119,80,6
Tasiilaq,18,GL,1635600865,66,65,-37,24,7
Kushima,100,JP,1635600866,95,31,131,63,6
Lakshettipet,23,IN,1635600866,73,18,79,76,4
Severo-Yeniseyskiy,100,RU,1635600867,85,60,93,16,12
Acapulco de Juárez,1,MX,1635600761,81,16,-99,78,2
Mintlaw,100,GB,1635600868,90,57,-2,51,11
Şile,0,TR,1635600868,59,41,29,63,5
Sharjah city,0,AE,1635600782,49,25,55,89,8
Sandviken,42,SE,1635600653,90,60,16,48,7
Hampden,90,US,1635600653,92,42,-72,54,3
Miraflores,99,MX,1635600870,78,19,-98,55,2
Chokurdakh,100,RU,1635600788,97,70,147,-8,6
Hambantota,75,LK,1635600871,100,6,81,75,3
Mayo,1,US,1635600871,93,38,-76,58,1
Lábrea,71,BR,1635600872,44,-7,-64,93,2
Loncoche,82,CL,1635600873,54,-39,-72,55,5
Kavieng,86,PG,1635600873,75,-2,150,83,12
Wattegama,97,LK,1635600874,92,6,81,74,3
Belmonte,89,BR,1635600874,77,-15,-38,79,6
Saldanha,100,ZA,1635600875,74,-33,17,75,15
Itaqui,85,BR,1635600876,52,-29,-56,84,7
Celestún,11,MX,1635600729,53,20,-90,79,13
Faanui,5,PF,1635600877,73,-16,-151,77,17
Insar,3,RU,1635600877,85,53,44,48,12
Makkah al Mukarramah,0,SA,1635600855,29,21,39,91,14
Coquimbo,90,CL,1635600878,87,-29,-71,55,9
Westport,90,US,1635600878,94,41,-73,63,13
Bairiki Village,40,KI,1635600879,78,1,172,82,4
Kendari,69,ID,1635600880,91,-3,122,76,1
Yangi Marg`ilon,0,UZ,1635600880,43,40,71,54,2
Kenai,90,US,1635600803,87,60,-151,39,11
Plettenberg Bay,2,ZA,1635600881,72,-34,23,67,8
Kamina,80,CD,1635600882,57,-8,24,80,2
Sukhobezvodnoye,98,RU,1635600882,91,57,44,46,7
Gigmoto,86,PH,1635600883,72,13,124,81,13
Oranjemund,2,NA,1635600883,61,-28,16,69,16
Sinnamary,92,GF,1635600884,77,5,-52,81,8
Aktash,100,RU,1635600884,73,50,87,22,4
Llanes,100,ES,1635600885,82,43,-4,62,6
Nyurba,100,RU,1635600885,82,63,118,19,7
Imbituba,100,BR,1635600801,94,-28,-48,67,10
Roald,0,NO,1635600886,54,62,6,55,14
Panabá,44,MX,1635600887,57,21,-88,77,9
Kiunga,100,PG,1635600888,99,-6,141,73,1
Dikson,100,RU,1635600889,91,73,80,8,16
Te Karaka,100,NZ,1635600889,83,-38,177,61,6
Corrales,0,US,1635600890,44,35,-106,54,2
Eirunepé,28,BR,1635600890,52,-6,-69,90,2
Tando Muhammad Khan,2,PK,1635600891,14,25,68,84,1
Souillac,40,MU,1635600876,69,-20,57,79,11
Kapoeta,86,SS,1635600892,27,4,33,93,18
Torquay,63,GB,1635600892,48,50,-3,57,1
São João da Barra,100,BR,1635600893,83,-21,-41,75,11
Constitución,100,CL,1635600894,60,-35,-72,62,10
Cabo San Lucas,27,MX,1635600676,74,22,-109,75,6
Nyaunglebin,99,MM,1635600895,93,17,96,75,3
Bonavista,28,CA,1635600896,70,48,-53,47,10
Coyhaique,0,CL,1635600896,65,-45,-72,43,3
Codrington,0,AU,1635600897,90,-38,141,43,6
Flinders,30,AU,1635600898,75,-34,150,59,4
Fatezh,6,RU,1635600898,68,52,35,55,6
Warrington,40,GB,1635600899,73,53,-2,57,8
Goundi,100,TD,1635600899,31,9,17,94,3
Norman Wells,90,CA,1635600682,93,65,-126,21,3
Mporokoso,48,ZM,1635600900,35,-9,30,84,8
Sur,35,OM,1635600901,60,22,59,81,10
Tabou,100,CI,1635600901,77,4,-7,81,8
Chimoio,0,MZ,1635600835,35,-19,33,85,9
Belyy Yar,0,RU,1635600903,52,53,91,42,11
Fortuna,90,US,1635600904,76,40,-124,58,0
Leningradskiy,100,RU,1635600904,97,69,178,-8,6
Buala,93,SB,1635600778,83,-8,159,80,9
Port Lincoln,5,AU,1635600905,68,-34,135,52,7
Ilhéus,40,BR,1635600705,74,-14,-39,82,11
San Quintín,0,MX,1635600906,90,30,-115,61,4
Antofagasta,1,CL,1635600907,49,-23,-70,72,7
Dragør,100,DK,1635600907,85,55,12,56,10
Severomuysk,95,RU,1635600908,68,56,113,8,2
Toyooka,100,JP,1635600908,72,35,134,56,4
Boussé,23,BF,1635600909,19,12,-1,99,6
Gamba,100,GA,1635600910,81,-2,10,80,11
Mahina,75,PF,1635600910,73,-17,-149,74,10
Rock Sound,91,BS,1635600911,78,24,-76,81,23
São José do Rio Pardo,44,BR,1635600911,65,-21,-46,77,9
Los Llanos de Aridane,20,ES,1635600852,83,28,-17,71,5
Sola,4,VU,1635600912,67,-13,167,81,15
Barsovo,13,RU,1635600913,91,61,73,15,8
Nabire,81,ID,1635600913,91,-3,135,77,2
Phuthaditjhaba,1,ZA,1635600914,41,-28,28,65,6
San Patricio,0,US,1635600915,30,28,-97,64,4
Boda,38,CF,1635600915,57,4,17,86,5
Tuatapere,74,NZ,1635600916,87,-46,167,47,7
Avera,81,US,1635600916,74,33,-82,56,12
Lebu,77,CL,1635600917,68,-37,-73,55,21
Tunceli,100,TR,1635600918,90,39,39,57,1
Guerrero Negro,0,MX,1635600740,87,27,-114,62,4
Preobrazheniye,100,RU,1635600918,86,42,133,51,7
Goundam,94,ML,1635600919,12,16,-3,101,12
Hong Kong,49,HK,1635600919,83,22,114,75,1
Caravelas,60,BR,1635600838,57,-17,-39,83,7
Cadillac,90,US,1635600920,87,44,-85,45,4
Grindavik,0,IS,1635600921,81,63,-22,45,8
Kulhudhuffushi,100,MV,1635600921,81,6,73,80,7
Carlos Chagas,77,BR,1635600922,55,-17,-40,83,5
Hobyo,31,SO,1635600922,68,5,48,81,15
Jablanica,0,BA,1635600923,42,43,17,68,4
Cayenne,90,GF,1635600924,75,4,-52,86,5
Saint Anthony,90,US,1635600924,96,45,-93,40,0
Dunedin,0,NZ,1635600925,90,-45,170,59,11
Kalmar,40,SE,1635600843,89,56,16,54,2
South Kazakhstan Region,100,KZ,1635600925,46,43,68,52,6
Hasaki,53,JP,1635600926,56,35,140,57,7
Peleduy,100,RU,1635600927,71,59,112,29,8
Saskylakh,100,RU,1635600737,93,71,114,4,11
Turbat,0,PK,1635600927,14,26,63,89,17
Okhotsk,2,RU,1635600928,71,59,143,13,18
Tual,87,ID,1635600928,76,-5,132,82,5
Vila Franca do Campo,94,PT,1635600929,87,37,-25,75,15
Constanța,12,RO,1635600930,69,44,28,56,10
Moose Factory,90,CA,1635600930,93,51,-80,41,3
Xique-Xique,4,BR,1635600931,42,-10,-42,86,7
Kawalu,100,ID,1635600932,97,-7,108,73,0
Obregon,100,NI,1635600932,96,11,-85,77,2
Dumbéa,16,NC,1635600933,88,-22,166,67,4
Fort-Shevchenko,0,KZ,1635600933,85,44,50,52,7
Port Moresby,75,PG,1635600934,94,-9,147,76,5
Buin,6,CL,1635600934,20,-33,-70,73,3
Vila,100,PT,1635600935,91,42,-8,58,7
Apricena,7,IT,1635600936,54,41,15,68,4
Bambous Virieux,40,MU,1635600936,69,-20,57,79,11
Longyearbyen,20,SJ,1635600937,74,78,15,22,8
Auki,67,SB,1635600798,88,-8,160,78,4
Rome,90,US,1635600938,87,43,-75,50,14
Saint-Joseph,40,RE,1635600938,80,-21,55,79,5
Manatí,0,PR,1635600939,71,18,-66,86,7
Sambava,20,MG,1635600939,77,-14,50,77,11
Shimoda,74,JP,1635600940,66,34,138,56,2
Taoudenni,100,ML,1635600941,16,22,-3,94,7
Bubaque,100,GW,1635600941,91,11,-15,74,4
Klaksvík,100,FO,1635600942,85,62,-6,47,11
Laas,100,IT,1635600942,52,46,10,51,6
Dauphin,20,CA,1635600943,88,51,-100,35,10
Vestmannaeyjar,0,IS,1635600944,81,63,-20,47,13
Lavrentiya,43,RU,1635600945,79,65,-171,10,5
Berdigestyakh,58,RU,1635600945,99,62,126,0,2
Ahipara,100,NZ,1635600946,97,-35,173,62,18
Alekseyevsk,100,RU,1635600946,46,57,108,38,10
Kopavogur,0,IS,1635600947,70,64,-21,45,1
Sasina,0,BA,1635600947,51,44,16,40,2
Sakaiminato,75,JP,1635600948,77,35,133,58,3
Novo Aripuanã,4,BR,1635600948,48,-5,-60,92,4
Muravlenko,100,RU,1635600707,91,63,74,13,20
Mount Gambier,2,AU,1635600949,93,-37,140,40,0
Geraldton,0,AU,1635600950,72,-28,114,64,11
Sakakah,100,SA,1635600950,15,29,40,89,11
Anchorage,75,US,1635600910,89,61,-149,42,0
Strezhevoy,100,RU,1635600951,86,60,77,17,14
Korostyshiv,0,UA,1635600952,43,50,29,55,9
Mayskiy,0,RU,1635600953,52,47,40,56,6
St. Marys,40,US,1635600672,80,30,-81,59,3
Emba,99,KZ,1635600953,63,48,58,48,9
Oistins,40,BB,1635600768,65,13,-59,84,18
Pāsighāt,5,IN,1635600954,72,28,95,68,4
Constantine,0,DZ,1635600955,40,36,6,72,5
Cobija,6,BO,1635600955,83,-11,-68,82,4
Parincea,0,RO,1635600956,59,46,27,58,14
Half Moon Bay,90,US,1635600957,93,37,-122,60,3
Kirakira,99,SB,1635600957,82,-10,161,80,11
Adrar,100,MR,1635600958,12,20,-10,88,9
Luzhou,100,CN,1635600958,83,28,105,62,0
Broken Hill,68,AU,1635600959,26,-31,141,56,8
Murmino,28,RU,1635600959,80,54,40,50,10
Mokhotlong,17,LS,1635600960,29,-29,29,60,20
Karratha,0,AU,1635600961,60,-20,116,74,13
Parrita,99,CR,1635600961,80,9,-84,87,0
Brownwood,1,US,1635600962,93,31,-98,48,2
Bonfim,27,BR,1635600836,51,3,-59,89,1
Dandong,94,CN,1635600963,79,40,124,55,1
Grants,0,US,1635600963,45,35,-107,45,4
Anjangaon,99,IN,1635600964,57,21,77,70,6
Cururupu,30,BR,1635600965,71,-1,-44,84,5
Yumen,2,CN,1635600965,35,40,97,43,8
Cherskiy,100,RU,1635600966,99,68,161,-5,4
Atagay,100,RU,1635600966,79,55,99,37,2
Kidal,61,ML,1635600786,8,18,1,99,10
Lichuan,100,CN,1635600967,86,30,108,50,2
Gīdolē,76,ET,1635600968,31,5,37,71,4
Shingū,100,JP,1635600968,87,33,135,60,5
Kerchevskiy,100,RU,1635600969,90,59,56,37,10
Faya,85,SA,1635600969,24,18,42,73,5
Yoichi,100,JP,1635600970,76,43,140,39,6
Nishifukuma,100,JP,1635600971,81,33,130,63,3
Arrondissement de Sedan,100,FR,1635600971,96,49,5,55,14
Andros Town,36,BS,1635600972,70,24,-77,78,16
Seinäjoki,0,FI,1635600972,88,62,22,48,1
Mishan,100,CN,1635600973,59,45,131,41,4
Sainte-Rose,20,GP,1635600973,65,16,-61,84,9
Kabanjahe,98,ID,1635600974,96,3,98,68,2
Ginir,6,ET,1635600975,32,7,40,70,8
Waipawa,100,NZ,1635600975,86,-41,175,58,15
Bengkulu,100,ID,1635600976,88,-3,102,79,6
Winslow,1,US,1635600976,75,35,-110,35,3
Port Hueneme,90,US,1635600977,92,34,-119,68,0
Merauke,63,ID,1635600978,80,-8,140,80,12
El Cobre,40,CU,1635600978,94,20,-75,78,5
Ţahţā,100,EG,1635600979,17,26,31,95,6
Petropavlovsk-Kamchatskiy,0,RU,1635600980,80,53,158,30,6
Abilene,1,US,1635600980,65,32,-99,55,5
Alice Springs,90,AU,1635600684,32,-23,133,69,9
Teahupoo,31,PF,1635600981,78,-17,-149,69,15
Cradock,3,ZA,1635600982,34,-32,25,73,11
Yulara,90,AU,1635600982,100,-25,130,57,17
Santa Isabel Rio Negro,23,BR,1635600983,54,0,-65,89,1
Ovalle,5,CL,1635600983,46,-30,-71,74,6
Esim,86,GH,1635600984,72,4,-2,83,8
Sirte,0,LY,1635600984,45,31,16,76,11
Impfondo,73,CG,1635600985,49,1,18,90,2
Alugan,100,PH,1635600986,81,12,125,80,14
Granada,90,ES,1635600986,63,37,-3,71,10
Soma,1,TR,1635600987,41,39,27,70,7
Polokwane,40,ZA,1635600798,25,-23,29,85,11
Nouakchott,100,MR,1635600987,51,18,-15,89,9
Ziniaré,15,BF,1635600988,19,12,-1,100,4
Östersund,48,SE,1635600989,71,63,14,52,12
Lagoa,100,PT,1635600989,89,39,-27,70,25
Dodoma,72,TZ,1635600990,25,-6,35,89,3
Podor,54,MR,1635600990,24,16,-14,96,17
Isangel,3,VU,1635600991,84,-19,169,74,4
Olinda,40,BR,1635600840,58,-8,-34,83,9
Escárcega,35,MX,1635600992,60,18,-90,76,2
Solginskiy,100,RU,1635600993,87,61,41,44,6
Twentynine Palms,0,US,1635600812,39,34,-116,70,1
Baiyin,100,CN,1635600994,36,36,104,45,2
Angoulême,75,FR,1635600994,66,45,0,67,11
New Braunfels,1,US,1635600929,73,29,-98,58,6
Rohnert Park,1,US,1635600995,91,38,-122,59,1
Kabo,100,CF,1635600996,37,7,18,91,3
San Andrés,75,CO,1635600996,84,12,-81,84,5
Naze,8,JP,1635600997,77,28,129,68,7
Carutapera,53,BR,1635600998,79,-1,-46,82,6
Praia da Vitória,40,PT,1635600796,88,38,-27,73,16
Carupano,92,VE,1635600999,67,10,-63,83,8
San Miguel,0,SV,1635600999,85,13,-88,78,0
Mauá,100,BR,1635601000,74,-23,-46,73,5
Bay-Khaak,96,RU,1635600864,67,51,94,35,3
Santo Tomas,30,PH,1635601001,82,14,121,81,7
Grand Gaube,3,MU,1635601001,69,-20,57,79,3
Mūl,50,IN,1635601002,70,20,79,73,6
Mildura,0,AU,1635601002,47,-34,142,53,5
Mahébourg,40,MU,1635601003,69,-20,57,79,11
Kipushi,27,CD,1635601003,15,-11,27,92,2
Garoowe,95,SO,1635601004,40,8,48,85,15
Porbandar,63,IN,1635601004,32,21,69,83,9
Vao,7,NC,1635601005,75,-22,167,70,8
Nālūt,78,LY,1635601005,24,30,10,77,8
Nelson Bay,100,AU,1635601006,81,-32,152,59,1
Nanortalik,83,GL,1635600822,72,60,-45,34,4
Pisco,90,PE,1635601007,88,-13,-76,63,3
Bogorodskoye,52,RU,1635601007,85,56,37,49,10
Puerto Escondido,75,MX,1635601008,73,15,-97,74,5
Carbonia,100,IT,1635601008,80,39,8,68,4
Marang,80,MY,1635601009,80,5,103,80,2
Bac Lieu,86,VN,1635601009,86,9,105,80,11
Erzin,28,TR,1635601010,52,36,36,79,3
Lanzhou,97,CN,1635601011,46,36,103,47,4
Shatoy,33,RU,1635601011,80,42,45,49,1
Rawson,2,AR,1635601012,38,-43,-65,55,29
Iralaya,100,HN,1635601012,83,15,-83,79,12
Aswān,0,EG,1635600719,15,24,32,103,8
Mogzon,34,RU,1635601013,59,51,111,25,1
Chingirlau,63,KZ,1635601014,58,51,54,44,12
Song Phi Nong,99,TH,1635601014,88,14,100,84,5
Ucluelet,68,CA,1635601015,63,48,-125,35,6
Coxim,57,BR,1635601015,44,-18,-54,90,6
Teya,100,RU,1635601017,84,60,92,20,12
Loikaw,41,MM,1635601017,96,19,97,67,2
Belaya Gora,100,RU,1635601018,94,68,146,-2,3
Olupona,76,NG,1635601018,44,7,4,90,1
Alenquer,5,BR,1635601019,52,-1,-54,86,5
Kieta,86,PG,1635601020,82,-6,155,79,5
Sorong,100,ID,1635601020,80,0,131,80,3
Ostrovnoy,93,RU,1635601021,83,68,39,30,8
Dutlwe,0,BW,1635601021,16,-23,23,89,14
Tunga,88,PH,1635601022,94,11,124,75,3
Sampit,98,ID,1635601023,93,-2,112,73,2
Portgordon,75,GB,1635601023,83,57,-3,53,5
Portland,1,US,1635600480,70,45,-122,52,1
Mahābaleshwar,14,IN,1635601024,63,17,73,64,2
Saucillo,0,MX,1635601025,25,28,-105,58,6
Hue,40,VN,1635600883,89,16,107,78,3
Lata,100,PT,1635600837,71,40,-8,67,6
Lake City,1,US,1635601026,87,30,-82,57,12
Poronaysk,100,RU,1635601027,84,49,143,38,5
Khanbari,29,NP,1635601027,91,27,87,60,1
Sioux Lookout,75,CA,1635601028,71,50,-91,46,12
Xai-Xai,1,MZ,1635601028,66,-25,33,76,19
Pontianak,40,ID,1635601029,83,0,109,82,3
Barra do Garças,75,BR,1635600999,74,-15,-52,81,5
Xingtai,55,CN,1635601030,51,37,114,60,2
Hay River,75,CA,1635601031,93,60,-115,26,10
Kushiro,4,JP,1635600731,80,42,144,45,4
Winton,90,US,1635601031,97,37,-120,67,0
Voh,0,NC,1635601032,88,-20,164,70,2
Texarkana,1,US,1635600950,87,33,-94,50,1
Takoradze,100,GH,1635601033,73,4,-1,83,10
Kupang,99,ID,1635601033,81,-10,123,81,6
Gisborne,100,NZ,1635601034,77,-38,178,64,10
Beringovskiy,100,RU,1635601034,95,63,179,11,18
Kitgum,100,UG,1635601035,47,3,32,82,5
Ufimskiy,100,RU,1635601036,96,56,58,38,13
Boundiali,97,CI,1635601036,46,9,-6,89,3
Nobeoka,100,JP,1635601037,91,32,131,61,4
Ulladulla,89,AU,1635601037,64,-35,150,54,3
Karakol,0,KG,1635601038,62,42,78,33,8
Mayumba,97,GA,1635601038,81,-3,10,80,11
Coruripe,31,BR,1635601039,56,-10,-36,83,10
Sydney,75,AU,1635601040,61,-33,151,60,3
Kumluca,100,TR,1635601040,61,36,30,66,8
Roebourne,0,AU,1635600789,59,-20,117,74,12
Woodstock,100,CA,1635601041,95,43,-80,46,9
Yuli,100,NG,1635601042,17,9,10,97,6
Pucallpa,20,PE,1635601042,74,-8,-74,80,3
Kedrovyy,95,RU,1635601043,72,56,91,34,8
Tulum,77,MX,1635600873,66,20,-87,77,5
Curup,100,ID,1635601043,98,-3,102,69,0
Suleja,100,NG,1635601044,49,9,7,88,2
Meulaboh,87,ID,1635601045,83,4,96,77,2
Novonikolayevskiy,9,RU,1635601045,62,50,42,47,5
Saint-Pierre,0,RE,1635601046,69,-21,55,80,4
Karachi,4,PK,1635601046,28,24,67,85,9
Goderich,100,CA,1635600873,89,43,-81,46,14
Clearfield,90,US,1635601047,92,41,-78,49,4
Luena,97,AO,1635601048,49,-11,19,78,6
Zhigansk,75,RU,1635601048,99,66,123,-5,10
Vyborg,100,RU,1635601049,90,60,28,47,7
Richards Bay,98,ZA,1635601049,82,-28,32,67,16
Joshīmath,0,IN,1635601050,50,30,79,51,5
Atbasar,100,KZ,1635601051,77,51,68,38,17
Marzuq,98,YE,1635601051,39,14,46,79,3
Tripoli,100,LY,1635601052,59,32,13,73,11
Swansea,74,GB,1635601052,81,51,-3,57,15
Davila,10,PH,1635600820,77,18,120,79,19
Muli,20,MV,1635601053,75,2,73,83,12
Bahía Blanca,81,AR,1635601054,37,-38,-62,66,17
Jiuquan,0,CN,1635601054,36,39,98,43,6
Bowen,0,AU,1635601055,80,-20,148,73,6
Bajram Curri,0,AL,1635601055,59,42,20,66,3
Labuhan,100,ID,1635601056,75,-6,112,82,4
Tura,0,IN,1635601057,61,25,90,66,2
Gorom-Gorom,71,BF,1635601057,10,14,0,102,7
Tsimmerbude,27,RU,1635601058,52,54,20,57,10
Balabac,100,PH,1635601058,78,7,117,82,9
Markova,78,UA,1635601059,55,48,24,58,2
Hadžići,0,BA,1635601059,58,43,18,63,1
Ambilobe,21,MG,1635601060,62,-13,49,82,7
Chumikan,15,RU,1635601060,78,54,135,18,7
Hermiston,1,US,1635601061,48,45,-119,45,6
